"Event","White","Black","Result","UTCDate","UTCTime","WhiteElo","BlackElo","WhiteRatingDiff","BlackRatingDiff","ECO","Opening","TimeControl","Termination","AN"
" Bullet ","canegiallo","Zivela_Velika_Srbija","1-0","2016.07.01","13:06:40","1808","1691","8.0","-7.0","C18","French Defense: Winawer Variation, Maroczy-Wallis Variation","120+0","Time forfeit","1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3 cxd4 6. axb4 dxc3 7. bxc3 Ne7 8. Nf3 Ng6 9. Bd3 O-O 10. O-O Nc6 11. Qe2 b6 12. b5 Nce7 13. Bg5 h6 14. Bxg6 fxg6 15. Bxe7 Qxe7 16. Qd3 g5 17. Nd4 Bb7 18. Qg6 Rae8 19. f4 Qf7 20. Qxf7+ Rxf7 21. fxg5 Rxf1+ 22. Rxf1 hxg5 23. Rf3 a6 24. bxa6 Bxa6 25. Kf2 Kh7 26. Kg3 Kg6 27. Kg4 Rh8 28. Rh3 Rf8 29. Rf3 Rxf3 30. gxf3 Bc8 31. Nc6 Bd7 32. Nb8 Ba4 33. Na6 Bxc2 34. Nc7 Bf5+ 35. Kg3 Kf7 36. h4 gxh4+ 37. Kxh4 g6 38. Kg5 Ke7 39. Nb5 Kd7 40. Nd4 Kc7 41. Nxf5 gxf5 42. Kf6 Kd7 43. Kf7 b5 44. f4 d4 45. cxd4 b4 46. d5 exd5 47. e6+ 1-0"
" Blitz ","janviking","MBuruncuk","1-0","2016.07.01","13:06:42","1401","1741","24.0","-19.0","B30","Sicilian Defense: Old Sicilian","300+0","Normal","1. e4 c5 2. Nf3 Nc6 3. d3 e5 4. h3 d6 5. Nc3 Be7 6. Bd2 Nf6 7. a3 O-O 8. Ng5 h5 9. g3 Nd4 10. f4 exf4 11. gxf4 a6 12. f5 g6 13. Ne2 Nf3+ 14. Nxf3 Nh7 15. Ng3 Qb6 16. Bc3 Bd7 17. Qd2 Rfe8 18. Qh6 Bf8 19. Qf4 Qc7 20. Rg1 b5 21. Nxh5 Rab8 22. fxg6 fxg6 23. Rxg6+ Bg7 24. Rxg7+ Kh8 25. Rxd7+ 1-0"
" Blitz ","WaterFromStone","skaulen","1-0","2016.07.01","13:06:42","1940","1881","10.0","-8.0","A08","King's Indian Attack: French Variation","180+0","Time forfeit","1. Nf3 c5 2. g3 d5 3. Bg2 Nc6 4. O-O e5 5. d3 Nf6 6. e4 Be7 7. Nc3 d4 8. Ne2 O-O 9. Nd2 b5 10. a4 Rb8 11. axb5 Rxb5 12. b3 Nb4 13. Rxa7 Bg4 14. f3 Be6 15. Nc4 Bxc4 16. dxc4 Rb6 17. Bg5 h6 18. Bd2 Qd6 19. Nc1 Nd7 20. Nd3 Nxd3 21. cxd3 Qb8 22. Ra3 Qb7 23. Qc2 Nb8 24. f4 exf4 25. e5 fxg3 26. Bxb7 gxh2+ 27. Kxh2 Rxb7 28. Rg1 Rb6 29. Ra8 Nd7 30. Rxf8+ Bxf8 31. e6 Rxe6 32. Qd1 Nf6 33. Rg3 Bd6 34. Kg2 Bxg3 35. Kxg3 Nh7 36. Kf4 Rg6 37. Ke5 1-0"
" Classical ","ahmtdrn","Jg24","0-1","2016.07.01","13:06:43","1975","1913","-12.0","27.0","B50","Sicilian Defense","600+0","Normal","1. e4 c5 2. Nf3 d6 3. Bc4 e6 4. O-O Nf6 5. c3 Be7 6. d4 cxd4 7. cxd4 Nxe4 8. d5 e5 9. Re1 Nf6 10. Bg5 O-O 11. Bxf6 Bxf6 12. Nc3 Bg4 13. h3 Bh5 14. Qd3 Nd7 15. Nh2 a6 16. Ne4 Be7 17. Qg3 Bg6 18. Ng4 Bh4 19. Qf3 Rc8 20. b3 b5 21. Bd3 Nc5 22. Nxc5 Rxc5 23. Bxg6 fxg6 24. Qe4 h5 25. g3 hxg4 26. gxh4 Qxh4 27. Qxg4 Qxf2+ 0-1"
" Classical ","MarcoAav123","SashaB85","0-1","2016.07.01","13:06:44","1175","1466","-33.0","5.0","C40","King's Pawn Game: McConnell Defense","1800+0","Normal","1. e4 e5 2. Nf3 Qf6 3. d4 exd4 4. Nxd4 Bc5 5. c3 Nc6 6. Be3 Nge7 7. Nd2 d5 8. N2b3 dxe4 9. Nxc5 Nd5 10. Qd2 Nxe3 11. Qxe3 Nxd4 12. Qxe4+ Be6 13. Nxe6 fxe6 14. Bb5+ c6 15. O-O-O cxb5 16. Rxd4 O-O 17. Rd7 Qg5+ 18. f4 Rxf4 19. Qxe6+ Kh8 20. Re1 Re4+ 21. Re3 Rxe6 22. Rd3 Rxe3 23. Rxe3 Qxe3+ 24. Kd1 Rd8+ 25. Kc2 Qd2+ 26. Kb3 a5 27. c4 Qd3# 0-1"
" Classical ","HairMan","SimonZorglub","0-1","2016.07.01","13:06:44","1712","1381","-19.0","23.0","C40","King's Pawn Game: McConnell Defense","600+0","Normal","1. e4 e5 2. Nf3 Qf6 3. Bc4 d6 4. d3 Be6 5. Bg5 Qg6 6. Bxe6 Qxe6 7. Nh4 f6 8. Be3 g5 9. Qh5+ Kd8 10. Nf5 Nd7 11. Nc3 h6 12. Nd5 Ne7 13. Ndxe7 Bxe7 14. Nxe7 Qxe7 15. h4 Qe8 16. Qxe8+ Rxe8 17. hxg5 hxg5 18. O-O-O b6 19. Rh6 Ke7 20. g3 Rg8 21. c4 c5 22. Kc2 Rab8 23. a4 a5 24. f4 exf4 25. gxf4 gxf4 26. Bxf4 Nf8 27. Bd2 Nd7 28. Rh7+ Ke6 29. Be3 Nf8 30. Rh6 Rg2+ 31. Kc3 Nd7 32. Rg1 Rxg1 33. Bxg1 Ne5 34. d4 cxd4+ 35. Bxd4 Ng4 36. Rg6 Ne5 37. b4 Nxg6 38. c5 axb4+ 39. Kxb4 bxc5+ 40. Kc4 cxd4 41. Kxd4 Rb4+ 42. Ke3 Rxa4 0-1"
" Blitz ","Rinchin","jk729fx","1-0","2016.07.01","13:06:41","1536","1359","6.0","-12.0","A25","English Opening: King's English Variation, Reversed Closed Sicilian","300+0","Normal","1. c4 e5 2. Nc3 Nc6 3. g3 Bb4 4. Bg2 Nf6 5. Qb3 Bxc3 6. Qxc3 d5 7. d3 Nd4 8. Nf3 Bg4 9. Nxd4 exd4 10. Qxd4 O-O 11. b3 c6 12. h3 Qa5+ 13. Bd2 Qa3 14. hxg4 Nxg4 15. Qxg4 Qb2 16. Rc1 Qxd2+ 17. Kxd2 Rfe8 1-0"
" Blitz tournament ","GabryMail","mohamedzxz","0-1","2016.07.01","13:06:45","1644","1998","-3.0","3.0","D43","Semi-Slav Defense","180+0","Normal","1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. Nf3 e6 5. Bf4 Bd6 6. Bg3 O-O 7. e3 Qe7 8. c5 Bxg3 9. hxg3 Nbd7 10. Qd3 e5 11. dxe5 Nxe5 12. Nxe5 Qxe5 13. f4 Qe6 14. O-O-O Re8 15. Re1 g6 16. Be2 Qe7 17. Bd1 Bf5 18. Qd4 Rad8 19. Bc2 Bxc2 20. Kxc2 Ne4 21. Nxe4 Qxe4+ 22. Qxe4 Rxe4 23. Kd3 Rde8 24. a3 a5 25. b4 axb4 26. axb4 Rxb4 27. Re2 Ree4 28. Ree1 Rec4 29. Rb1 h5 30. Rxb4 Rxb4 31. Rc1 Kf8 32. Ra1 Ke7 33. Ra7 Kf6 34. Ke2 Kf5 35. Kf3 Rb3 36. Ra8 f6 37. Rg8 Rb5 38. Rg7 b6 39. cxb6 Rxb6 40. Rc7 Ke6 41. Rg7 Kf5 42. Rc7 Ra6 43. Re7 c5 44. e4+ dxe4+ 45. Rxe4 Ra3+ 46. Re3 Rxe3+ 47. Kxe3 Kg4 48. Kf2 c4 49. Ke3 c3 50. Kd3 c2 51. Kxc2 Kxg3 52. Kd3 Kxg2 53. Ke4 h4 54. f5 gxf5+ 55. Kxf5 h3 56. Kxf6 h2 57. Kf5 h1=Q 58. Kg5 Qh3 59. Kf4 Qf3+ 60. Ke5 Qg4 61. Kd5 Qf4 62. Ke6 Qg5 63. Kd6 Kf3 64. Kc6 Ke4 65. Kd7 Kd4 66. Kc6 Qe5 67. Kb6 Qd5 68. Kc7 Qe6 69. Kb7 Kc5 70. Ka7 Qd7+ 71. Kb8 Kb6 72. Ka8 Qc8# 0-1"
" Bullet tournament ","Benour","wqweto","1-0","2016.07.01","13:06:39","1861","1316","1.0","-1.0","A16","English Opening: Anglo-Indian Defense, Queen's Knight Variation","60+0","Normal","1. c4 Nf6 2. Nc3 g6 3. g3 Bg7 4. Bg2 d6 5. e3 e5 6. d4 c5 7. dxc5 Bf8 8. cxd6 Bxd6 9. Nge2 Qe7 10. O-O O-O 11. b3 Nbd7 12. Bb2 b6 13. Nd5 Bb7 14. Nxe7+ Kh8 15. Bxb7 Rab8 16. Nxg6+ fxg6 17. Bd5 Kg7 18. Be6 Rfe8 19. Bxd7 Nxd7 20. Qxd6 Nf6 21. Bxe5 Rbd8 22. Qxf6+ Kg8 23. Qg7# 1-0"
" Blitz tournament ","kotok","Mouaismouais","0-1","2016.07.01","13:06:45","1945","2248","-4.0","3.0","B00","Nimzowitsch Defense, Declined Variation","180+0","Normal","1. e4 Nc6 2. Nf3 d5 3. exd5 Qxd5 4. Nc3 Qa5 5. Be2 e5 6. d3 Nf6 7. O-O Be7 8. a3 O-O 9. h3 Nd4 10. Re1 Nxf3+ 11. Bxf3 c6 12. Be3 Bd6 13. b4 Qc7 14. Ne4 Nxe4 15. Bxe4 f5 16. Bf3 Be6 17. Rb1 Rae8 18. b5 Bd5 19. bxc6 bxc6 20. Qd2 Bxf3 21. gxf3 f4 22. Qc3 fxe3 23. fxe3 Rxf3 24. Qc4+ Qf7 25. Qg4 Re6 26. Kh1 h5 27. Qg2 Rg6 28. Qd2 Rxh3+ 0-1"
" Bullet ","txdchess","Petruccco","1-0","2016.07.01","13:06:46","1492","1599","15.0","-16.0","B06","Modern Defense","45+0","Time forfeit","1. e4 g6 2. Nf3 Bg7 3. d4 e6 4. Be3 Ne7 5. c3 O-O 6. Bd3 c6 7. Qd2 d5 8. h4 h5 9. Bh6 Nd7 10. Bxg7 Kxg7 11. e5 f6 12. exf6+ Nxf6 13. Ng5 Ng4 14. f3 Nf6 15. Qe2 Nf5 16. Nxe6+ Bxe6 17. Bxf5 Re8 18. Bxe6 Re7 19. O-O Qe8 20. Re1 Rxe6 21. Qxe6 Qxe6 22. Rxe6 Rf8 23. Nd2 Nd7 24. Re5 Nxe5 25. dxe5 Re8 26. Re1 Rxe5 27. Rxe5 Kf6 28. Re7 1-0"
" Blitz tournament ","vongoom","ram44","1-0","2016.07.01","13:06:45","2121","1700","2.0","-2.0","C35","King's Gambit Accepted, Cunningham Defense","180+0","Normal","1. e4 e5 2. f4 exf4 3. Nf3 Be7 4. Bc4 Bh4+ 5. Kf1 Nh6 6. d4 Ng4 7. Bxf4 Nf2 8. Qe1 Nxh1 9. Qxh4 Qxh4 10. Nxh4 O-O 11. Nc3 Nc6 12. Rd1 d6 13. h3 g5 14. Bxg5 Ng3+ 15. Kf2 Nh5 16. g4 Ng7 17. Nd5 Bd7 18. c3 Rac8 19. Nf6+ 1-0"
" Bullet ","ss58ss","Unvergesslich","1-0","2016.07.01","13:06:46","2026","2057","11.0","-12.0","D92","Gruenfeld Defense: Three Knights Variation, Hungarian Attack","120+1","Time forfeit","1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4 Bg7 5. Nf3 O-O 6. Rc1 c5 7. dxc5 dxc4 8. e3 Qa5 9. Bxc4 Qxc5 10. Qe2 Bg4 11. Bb3 Nc6 12. O-O Rfd8 13. Nd5 Qa5 14. Nc7 Rac8 15. Nb5 Bxf3 16. gxf3 a6 17. Nc3 Qh5 18. Kh1 Ne5 19. Bxe5 Qxe5 20. f4 Qf5 21. Rcd1 Qh3 22. Rxd8+ Rxd8 23. Rd1 Rxd1+ 24. Bxd1 Ng4 25. f3 Nh6 26. Bb3 Nf5 27. Qf2 Bf6 28. Ne4 Bh4 29. Qg2 Qxg2+ 30. Kxg2 Nxe3+ 31. Kh3 Be1 32. Ng5 e6 33. f5 gxf5 34. f4 Bd2 35. Nf3 Bc1 36. Ne5 Bxb2 37. Nd7 Bd4 38. Nb8 b5 39. Kg3 a5 40. Kf3 a4 41. Bxe6 Nd5 42. Bxd5 Ba7 43. Nc6 Bb6 44. Ne7+ Kg7 45. Nxf5+ Kf6 46. Ne3 Bxe3 47. Kxe3 b4 48. Bc6 b3 49. axb3 1-0"
" Bullet ","vuk","davtio","1-0","2016.07.01","13:06:46","1603","1569","9.0","-10.0","A00","Hungarian Opening: Sicilian Invitation","120+1","Time forfeit","1. g3 c5 2. Bg2 Nc6 3. c3 d6 4. b3 Nf6 5. Bb2 e5 6. e3 Bg4 7. Ne2 Be7 8. h3 Bh5 9. g4 Bg6 10. d3 O-O 11. e4 Rb8 12. Ng3 b5 13. Nd2 a5 14. f3 Qb6 15. h4 h5 16. g5 Nd7 17. Bh3 Rfd8 18. Rf1 c4 19. dxc4 bxc4 20. Nxc4 Qc5 21. Ba3 Qa7 22. Qd3 Nc5 23. Bxc5 dxc5 24. Qc2 a4 25. Ne3 axb3 26. axb3 Qxa1+ 27. Kf2 Qa6 28. Nd5 Bd6 29. Nf5 Ra8 30. Nxd6 1-0"
" Bullet ","orkhon","smallepu92","0-1","2016.07.01","13:06:47","1229","1312","-9.0","13.0","A40","Englund Gambit Declined, Reversed French","60+0","Time forfeit","1. e3 e5 2. d4 e4 3. c3 d5 4. b3 Nf6 5. c4 dxc4 6. Bxc4 c6 7. f3 b5 8. Be2 exf3 9. Bxf3 Bd6 10. Nc3 O-O 11. Ne4 Nxe4 12. Bxe4 Bb7 13. Nf3 Nd7 14. O-O Nf6 15. Bc2 h6 16. Nd2 Qd7 17. h3 c5 18. Nf3 cxd4 19. exd4 Rad8 20. Be3 Bxf3 21. gxf3 Bg3 22. Bf2 Qxh3 23. Bxg3 Qxg3+ 24. Kh1 Nh5 25. Qd2 Qh3+ 26. Qh2 Qxh2+ 27. Kxh2 Rxd4 28. Rfd1 Rxd1 29. Rxd1 Rc8 30. Bd3 Rc3 31. Be4 Nf4 0-1"
" Bullet ","MaxBur","bentoCH","1-0","2016.07.01","13:06:45","1402","1529","14.0","-16.0","A43","Benoni Defense: Benoni Gambit Accepted","90+2","Normal","1. d4 { [%eval 0.14] } 1... c5 { [%eval 0.51] } 2. dxc5 { [%eval 0.12] } 2... e6 { [%eval 0.2] } 3. Nf3 { [%eval 0.06] } 3... Bxc5 { [%eval 0.04] } 4. Nc3 { [%eval -0.18] } 4... Nf6 { [%eval -0.25] } 5. Bg5 { [%eval -0.35] } 5... h6 { [%eval -0.13] } 6. Bxf6 { [%eval -0.25] } 6... gxf6?! { [%eval 0.57] } 7. e3 { [%eval 0.28] } 7... d5 { [%eval 0.37] } 8. Be2 { [%eval 0.31] } 8... Nc6 { [%eval 0.31] } 9. O-O { [%eval 0.09] } 9... Qc7 { [%eval 0.49] } 10. a3 { [%eval 0.23] } 10... Bd7 { [%eval 0.31] } 11. Nb5 { [%eval 0.08] } 11... Qb8 { [%eval 0.52] } 12. b4 { [%eval 0.41] } 12... Bd6?! { [%eval 1.36] } 13. Nxd6+ { [%eval 1.18] } 13... Qxd6 { [%eval 1.24] } 14. c4 { [%eval 1.24] } 14... Ne7 { [%eval 1.46] } 15. cxd5?! { [%eval 0.96] } 15... Nxd5? { [%eval 3.89] } 16. e4 { [%eval 3.67] } 16... Rg8 { [%eval 4.14] } 17. exd5 { [%eval 4.01] } 17... e5?! { [%eval 4.65] } 18. g3 { [%eval 4.16] } 18... Bh3 { [%eval 4.63] } 19. Re1 { [%eval 4.28] } 19... h5?! { [%eval 5.25] } 20. Nh4 { [%eval 4.76] } 20... f5?! { [%eval 5.7] } 21. Bf3?! { [%eval 4.73] } 21... f4?! { [%eval 5.71] } 22. Bg2?! { [%eval 4.82] } 22... Qd7?? { [%eval 13.68] } 23. Bxh3 { [%eval 12.73] } 23... Qxh3 { [%eval 13.94] } 24. Qxh5 { [%eval 13.43] } 24... f3?! { [%eval #8] } 25. Qxe5+ { [%eval #11] } 25... Kf8 { [%eval #11] } 26. Qe7+ { [%eval #10] } 26... Kg7 { [%eval #10] } 27. Qe5+?! { [%eval 14.37] } 27... Kh7?! { [%eval #9] } 28. Qh5+ { [%eval 63.04] } 28... Kg7 { [%eval 24.04] } 29. Nf5+ { [%eval 22.67] } 29... Qxf5 { [%eval 21.16] } 30. Qxf5 { [%eval 19.76] } 30... Kh8?! { [%eval #9] } 31. Qf6+?! { [%eval 28.12] } 31... Rg7 { [%eval 26.13] } 32. Re7 { [%eval 22.09] } 32... Rg8?! { [%eval #3] } 33. Rae1?! { [%eval #5] } 1-0"
" Bullet ","kutspel","DeepDani","1-0","2016.07.01","13:06:46","1935","1964","13.0","-14.0","A06","Zukertort Opening: Tennison Gambit","60+0","Time forfeit","1. e4 d5 2. Nf3 dxe4 3. Ng5 Nf6 4. Nc3 Bf5 5. h3 h5 6. g4 hxg4 7. Ngxe4 Nxe4 8. Nxe4 Bxe4 9. Rg1 gxh3 10. Qg4 h2 11. Qxe4 hxg1=Q 12. d3 Rh1 13. Qe2 Nc6 14. Be3 Qd6 15. f4 Qf6 16. Bxg1 Rxg1 17. Qf2 Rg6 18. O-O-O e6 19. Bg2 O-O-O 20. Qf3 Bd6 21. b4 Bxf4+ 22. Kb1 Rg5 23. a4 Nxb4 24. Qxb7+ Kd7 25. Qxb4 Bd6 26. Qc4 Rc5 27. Qb3 a5 28. Kc1 c6 29. Bf1 Rb8 30. Qa2 Qc3 31. Qa1 Rb3 32. Qxc3 Ra3 33. Kd2 Rcxc3 34. Rc1 Ra2 35. Be2 Rxa4 36. Bf3 Rc5 37. Bxc6+ Kxc6 38. Kd1 Kc7 39. Kd2 Rd5 40. d4 e5 41. Ke2 f6 42. dxe5 fxe5 43. Kf2 g6 44. Re1 e4 45. Rf1 Rdd4 46. Kg2 e3 47. Rf7+ Kc6 48. Rf8 1-0"
" Blitz ","tapan","Tdb","1-0","2016.07.01","13:06:47","1766","1777","12.0","-11.0","B23","Sicilian Defense: Closed","180+0","Time forfeit","1. e4 e6 2. Nc3 c5 3. Bc4 Nc6 4. Nf3 Bd6 5. d4 cxd4 6. Nxd4 Nxd4 7. Qxd4 Bb8 8. Qxg7 Qf6 9. Qxf6 Nxf6 10. Bg5 Nh5 11. O-O f6 12. Be3 Bf4 13. Bxf4 Nxf4 14. Rad1 a6 15. g3 Nh3+ 16. Kg2 Ng5 17. f4 Nf7 18. e5 f5 19. Rd3 b5 20. Bb3 Bb7+ 21. Kf2 Bc6 22. Rfd1 Ra7 23. a4 Ke7 24. axb5 axb5 25. Ne2 Rha8 26. h4 h5 27. c3 Nh6 28. c4 bxc4 29. Bxc4 Ng4+ 30. Kg1 Ra1 31. b3 Rxd1+ 32. Rxd1 Bf3 33. Rd2 Ra1+ 34. Nc1 Rxc1+ 35. Bf1 Ne3 36. Kf2 Rxf1+ 37. Kxe3 Bd5 38. b4 Rb1 39. Rd4 Rb3+ 40. Kf2 Rf3+ 41. Kg2 Rxg3+ 42. Kxg3 d6 43. exd6+ Kxd6 44. Kf2 e5 45. fxe5+ Kxe5 46. Ke3 f4+ 47. Kd3 f3 48. Ke3 f2 49. Rd1 f1=Q 50. Rxf1 Bb3 51. Rf4 Kd5 52. Rf5+ Kc4 53. Rxh5 Kxb4 54. Re5 1-0"
" Classical ","Carmosan","Antinick","1-0","2016.07.01","13:06:47","1773","1450","4.0","-4.0","A06","Reti Opening","600+0","Normal","1. Nf3 d5 2. e3 f6 3. Nc3 e5 4. b3 Bb4 5. Bb2 Bxc3 6. Bxc3 c6 7. g3 Bg4 8. Be2 e4 9. Nd4 Bxe2 10. Qxe2 c5 11. Nf5 h5 12. Nxg7+ Kf7 13. Nxh5 Qf8 14. Nf4 Qh6 15. Nxd5 Nc6 16. Qc4 Ne5 17. Bxe5 fxe5 18. Nc7+ Kg7 19. Nxa8 Nf6 20. Nc7 Rc8 21. Qxc5 b6 22. Qe7+ Kg6 23. O-O-O Qf8 24. Qxe5 Nd7 25. Qxe4+ Kg7 26. Ne6+ 1-0"
" Classical ","Ariks1","Mariaa","1-0","2016.07.01","13:06:47","1694","1672","10.0","-10.0","C20","King's Pawn Game: Leonardis Variation","120+15","Normal","1. e4 e5 2. d3 Nf6 3. f4 exf4 4. Bxf4 Nc6 5. Nf3 h6 6. Be2 Bc5 7. c3 a6 8. d4 Ba7 9. Nbd2 d6 10. Be3 Bg4 11. O-O Bxf3 12. Bxf3 Qd7 13. Qe2 O-O-O 14. d5 Bxe3+ 15. Qxe3 Ne5 16. Qa7 Nxf3+ 17. Nxf3 Qb5 18. Nd4 Qxb2 19. Rab1 Qxc3 20. Qxb7+ Kd7 21. Nf3 Qe3+ 22. Kh1 Nxe4 23. Qxa6 Nf2+ 24. Rxf2 Qxf2 25. Qb5+ Ke7 26. Qc4 g5 27. Nd4 Rb8 28. Nc6+ Kd7 29. Nxb8+ Rxb8 30. Rf1 Qc5 31. Qg4+ Ke7 32. Qf3 Rf8 33. Qf6+ Kd7 34. Qf5+ Ke7 35. h3 c6 36. Rb1 Rd8 37. Rb7+ Ke8 38. Qxf7# 1-0"
" Blitz ","HafizDeniz","Robmy","1-0","2016.07.01","13:06:49","1923","1978","13.0","-12.0","C20","King's Pawn Opening: 2.b3","300+0","Time forfeit","1. e4 e5 2. b3 Bb4 3. c3 Ba5 4. Nf3 d6 5. Bc4 h6 6. O-O Nf6 7. Qc2 O-O 8. d4 Nc6 9. dxe5 Nxe5 10. Nxe5 dxe5 11. Bb2 Bb6 12. h3 a6 13. a4 Re8 14. b4 Be6 15. Bb3 Qe7 16. Nd2 Rad8 17. a5 Ba7 18. Nf3 Bxb3 19. Qxb3 Nxe4 20. c4 Bd4 21. Rad1 Bxf2+ 22. Rxf2 Rxd1+ 23. Qxd1 Nxf2 24. Kxf2 Qxb4 25. Bxe5 Qxc4 26. Kg1 Qc5+ 27. Bd4 1-0"
" Classical ","jorgeleon","Ahmedmoslh","1-0","2016.07.01","13:06:49","2203","2232","12.0","-11.0","C65","Ruy Lopez: Berlin Defense #2","420+3","Normal","1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. Bxc6 dxc6 5. d3 Bc5 6. O-O Qe7 7. Nbd2 Bg4 8. h3 Bh5 9. Re1 O-O-O 10. Nf1 h6 11. Ne3 Bxe3 12. Bxe3 g5 13. Qd2 g4 14. Nh4 Nxe4 15. Qa5 Qxh4 16. dxe4 a6 17. hxg4 Bxg4 18. Qxe5 Rhg8 19. Qh2 Qf6 20. Qxh6 Rg6 21. Qf4 Qg7 22. c3 Be6 23. g3 Rh8 24. Bd4 f6 25. Kg2 Bh3+ 26. Kf3 Bg4+ 27. Ke3 Rh2 28. Rh1 Rxh1 29. Rxh1 b6 30. b4 Kb7 31. Rh4 Be6 32. a4 Qe7 33. Rh8 c5 34. bxc5 bxc5 35. e5 cxd4+ 36. Qxd4 Bd7 37. Qe4+ Bc6 38. Qxg6 Qxe5+ 39. Kd2 f5 40. Rh4 Be4 41. Qh6 Qd5+ 42. Kc1 Qd3 43. Rxe4 Qxc3+ 44. Kd1 fxe4 45. Qe3 Qc4 46. a5 c5 47. g4 Qd4+ 48. Qxd4 cxd4 49. g5 Kc7 50. g6 Kd7 51. g7 1-0"
" Blitz ","DenizKACAGAN","dyth","1-0","2016.07.01","13:06:48","1791","1933","16.0","-14.0","A00","Van't Kruijs Opening","180+0","Normal","1. e3 e5 2. Qf3 Nf6 3. g4 e4 4. Qe2 d5 5. g5 Bg4 6. Qb5+ c6 7. Qxb7 Nbd7 8. gxf6 Nxf6 9. Qxc6+ Bd7 10. Qc3 Rc8 11. Qd4 Bc5 12. Qe5+ Be6 13. c3 O-O 14. b4 Bd6 15. Qg5 h6 16. Qg2 Qd7 17. Bb2 Bh3 18. Nxh3 a5 19. b5 Bc5 20. a4 d4 21. exd4 Bxd4 22. cxd4 e3 23. dxe3 Rfe8 24. Nd2 Rc2 25. Rb1 Rxb2 26. Rxb2 Qxd4 27. Rb1 Qxa4 28. Bc4 Qc2 29. f4 Ne4 30. O-O Nxd2 31. Rbc1 Qf5 32. Qxd2 Qxh3 33. Qd5 Qg4+ 34. Kh1 Rf8 35. Qd4 a4 36. Rg1 Qxg1+ 37. Rxg1 a3 38. Qxg7# 1-0"
" Classical ","pawndestroyer001","chesslee","0-1","2016.07.01","13:06:49","1820","2008","-6.0","6.0","D31","Semi-Slav Defense: Accelerated Move Order","600+0","Normal","1. d4 d5 2. c4 c6 3. Nc3 e6 4. Nf3 b6 5. g3 Nf6 6. Bg2 Be7 7. cxd5 cxd5 8. O-O a6 9. Qc2 Bb7 10. Bg5 O-O 11. Ne5 Nc6 12. e3 Nxe5 13. dxe5 Nd7 14. Bxe7 Qxe7 15. f4 Nc5 16. e4 d4 17. b4 d3 18. Qd2 Nd7 19. Qxd3 Rfd8 20. Qe3 Qxb4 21. Rfc1 Nc5 22. Rab1 Qa5 0-1"
" Blitz ","edinsalimovic","batailley33","0-1","2016.07.01","13:06:51","1856","1887","-10.0","9.0","E90","King's Indian Defense: Normal Variation, Rare Defenses","180+0","Normal","1. e4 g6 2. d4 Bg7 3. c4 d6 4. Nc3 Nf6 5. Nf3 O-O 6. Bd3 Nc6 7. Bc2 Nb4 8. Bb1 Bg4 9. a3 Nc6 10. h3 Bd7 11. Bg5 Ne8 12. Qd2 Qc8 13. Bh6 e5 14. Bxg7 Kxg7 15. d5 Ne7 16. Qg5 f6 17. Qe3 f5 18. O-O f4 19. Qe2 Nf6 20. Rc1 Nh5 21. b4 Bxh3 22. gxh3 Qxh3 23. Qf1 Qc8 24. Qg2 Ng8 25. Nh4 Nh6 26. Kf1 Qd8 27. Qh3 Qg5 28. Ke2 f3+ 29. Nxf3 Qxc1 30. Qd7+ Rf7 31. Qe6 Qb2+ 32. Kd3 Qxa1 33. Ng5 Nf4+ 34. Kc2 Nxe6 0-1"
" Classical ","gregory1964","Turoverd","1-0","2016.07.01","13:06:50","1900","1823","9.0","-8.0","B06","Modern Defense","120+10","Normal","1. e4 g6 2. Nf3 Bg7 3. Bc4 d6 4. Ng5 e6 5. d4 Nf6 6. Nc3 O-O 7. O-O e5 8. dxe5 dxe5 9. Qf3 Nbd7 10. Be3 c6 11. Rad1 Qe7 12. a3 Rd8 13. b4 Rf8 14. h3 b5 15. Bb3 Nb6 16. Bc5 Qc7 17. Bxf8 Bxf8 18. Bxf7+ Kg7 19. Be6 Nc4 20. Bxc8 Rxc8 21. Ne6+ 1-0"
" Bullet ","thebuz","MorphyTalFischer","1-0","2016.07.01","13:06:51","1619","1658","14.0","-12.0","B02","Alekhine Defense: Maroczy Variation","60+0","Normal","1. e4 Nf6 2. d3 e5 3. Nc3 d5 4. Nf3 dxe4 5. Nxe4 Nxe4 6. dxe4 Qxd1+ 7. Kxd1 Nc6 8. Bd2 Be6 9. Ke2 O-O-O 10. Re1 Kb8 11. Kd1 Bb4 12. Kc1 Bxd2+ 13. Nxd2 Nb4 14. a3 Na2+ 15. Kb1 Rxd2 16. b3 Rhd8 17. Kxa2 Rxc2+ 18. Kb1 Rdd2 19. Bc4 Rb2+ 20. Kc1 Ra2 21. Bxe6 fxe6 22. Rd1 Rdc2+ 23. Kb1 Rab2+ 24. Ka1 Ra2+ 25. Kb1 Rcb2+ 26. Kc1 Re2 27. Rd8# 1-0"
